Nom,URL,Sponsorisé,Prix (€),Étoiles,Nombre d'Avis
"upHere gaming Support GPU,Aluminium,Support Carte Graphique,Support Carte Graphique Verticale réglable en Hauteur,avec Aimant,S(26mm-50mm),GB26K",https://www.amazon.fr/upHere-gaming-Aluminium-Graphique-Verticale/dp/B0CXPW17QK,0,"5,82","4,4 sur 5 étoiles","4,4 sur 5 étoiles 63"
StarTech.com Adaptateur USB 3.0 vers HDMI - 1080p - Convertisseur d'Écran Slim/Compact USB Type-A vers HDMI pour Moniteur - Carte Vidéo et Graphique Externe - Noir - Windows Uniquement (USB32HDES),https://www.amazon.fr/StarTech-com-Adaptateur-graphique-externe-multi-%C3%A9crans/dp/B00H91BQ7Y,0,"39,17","4,5 sur 5 étoiles","4,5 sur 5 étoiles 2 665"
"Cooler Master Kit Support GPU Vertical V3, pour Boîtiers PC E-ATX/ATX/mATX & Appareils PCI-E 4.0, Support Modulaire Ajustable pour Carte Graphique, Acier SGCC Épais, Riser Cable 165mm Inclus - Noir",https://www.amazon.fr/Cooler-Master-Vertical-Graphics-%C3%A9l%C3%A9vateur/dp/B0B7NY5TSY,0,"58,29","4,3 sur 5 étoiles","4,3 sur 5 étoiles 1 242"
"ASUS ROG Herculx Support pour Carte Graphique Blanc (Hauteur de Support 72-128 mm, élément ARGB 3D intégré, Aura Sync, Niveau à Bulle, Blanc)",https://www.amazon.fr/ASUS-Herculx-Support-Graphique-Hauteur/dp/B08H24S64X,0,"32,73","4,8 sur 5 étoiles","4,8 sur 5 étoiles 36"
"EZDIY-FAB Support GPU Graphique Support de Carte vidéo avec LED ARGB 5V 3 Broches, Support d'étui RX6700-Noir",https://www.amazon.fr/EZDIY-FAB-Support-Graphique-Broches-RX6700-Noir/dp/B0948R4VF4,0,"16,66","4,3 sur 5 étoiles","4,3 sur 5 étoiles 441"
upHere GPU Brace Carte Graphique ARGB LED Sync Ajustable Selon la Carte Graphique pour Raidisseur de Support Carte Graphique Verticale.,https://www.amazon.fr/upHere-Graphique-Ajustable-Raidisseur-Support/dp/B08YWMJLMV,0,"13,32","4,4 sur 5 étoiles","4,4 sur 5 étoiles 641"
NZXT Vertical GPU Mounting Kit - AB-RH175-W1 - Câble Riser PCIe 4.0x16 175 mm - Support GPU - Support en Acier Robuste - Blanc,https://www.amazon.fr/Nzxt-Vertical-GPU-Mounting-Kit/dp/B0B4HJSH49,0,"88,24","4,6 sur 5 étoiles","4,6 sur 5 étoiles 352"
"upHere gaming Support Carte Graphique,GPU ARGB LED Sync Ajustable Selon la Support Carte Graphique pour Raidisseur de Support Carte Vidéo,G276WTARGB",https://www.amazon.fr/upHere-gaming-Graphique-Raidisseur-G276WTARGB/dp/B0CXH43WLN,0,"12,49","4,3 sur 5 étoiles","4,3 sur 5 étoiles 55"
"NZXT H7 Flow RGB -Tour moyenne ATX circ. d’air ventilateurs RGB, Ventilateurs inf. refroidissement direct carte graphique, Ventilateur RGB struct. unique 360 mm incl., Gestion des câbles- Boîtiers PC",https://www.amazon.fr/NZXT-ventilateurs-Ventilateurs-refroidissement-Ventilateur/dp/B0CV4RRBNJ,0,"124,99","4,6 sur 5 étoiles","4,6 sur 5 étoiles 2 071"
"EZDIY-FAB 5V ARGB GPU Holder Brace Graphics Card GPU Support Video Card Holder Bracket, Strenchable Structure, Video Card Sag Holder/Holster Bracket Support RX7990XTX, RTX4090-Noir",https://www.amazon.fr/EZDIY-FAB-ARGB-GPU-Strenchable-RTX4090-Noir/dp/B0BPGZRHQJ,0,"33,32","4,0 sur 5 étoiles","4,0 sur 5 étoiles 116"
"Support Carte Graphique GPU, Titulaire de la Carte vidéo, Aluminium, blanc, L(74mm-120mm)",https://www.amazon.fr/Uyubao-Graphique-Titulaire-Aluminium-74mm-120mm/dp/B0CHLTQ9M2,0,"8,99","4,6 sur 5 étoiles","4,6 sur 5 étoiles 972"
"EZDIY-FAB Support vertical pour GPU avec câble PCIE 4.0 Riser,module ARGB,extension flexible de 115 mm,connecteur à 90 degrés, compatible uniquement avec les emplacements PCIe entièrement ouverts-Noir",https://www.amazon.fr/EZDIY-FAB-GPU-emplacements-enti%C3%A8rement-ouverts-Noir/dp/B0CP4TQFPV,0,"41,66","4,1 sur 5 étoiles","4,1 sur 5 étoiles 141"
"Support pour carte graphique GPU, support de carte vidéo, support anti-affaissement, support GPU (L, 74-120 mm)",https://www.amazon.fr/Support-graphique-support-anti-affaissement-74-120/dp/B09FPJL1KY,0,"8,32","4,7 sur 5 étoiles","4,7 sur 5 étoiles 5 616"
"upHere Support GPU,Support Carte Graphique,Support Carte Graphique Verticale Réglable,Aluminium,Hauteur Ajustable,avec Aimant,S(26mm-50mm),Blanc,GB26T",https://www.amazon.fr/upHere-Graphique-Verticale-Aluminium-Ajustable/dp/B0DSW1RTTL,0,"5,82",Non disponible,Non disponible
"J&D 2 Paquets 6 Pin vers 8 Pin PCI Express (PCIe) Graphique la Vidéo Carte d'alimentation Câble Adaptateur, 10cm",https://www.amazon.fr/Broches-Express-Graphique-Adaptateur-dalimentation/dp/B07C6P9R9R,0,"6,62","4,7 sur 5 étoiles","4,7 sur 5 étoiles 788"
NZXT H9 Flow noir - CM-H91FB-01 - Boîtier Gaming moyen-tour ATX double chambre - Panneau supérieur perforé pour airflow élevé - avant et latéral en verre trempé - Compatible radiateur 360 mm,https://www.amazon.fr/NZXT-Flow-noir-CM-H91FB-01-moyen-tour/dp/B0BJGP7XQ7,0,"146,57","4,7 sur 5 étoiles","4,7 sur 5 étoiles 1 498"
Asus Carte Graphique Nvidia PH-GT1030-02G 1506 MHz 2 GB GDDR5 PCI-Express 3.0,https://www.amazon.fr/Asus-Graphique-Nvidia-PH-GT1030-02G-PCI-Express/dp/B0727WGG3F,0,Non disponible,"4,4 sur 5 étoiles","4,4 sur 5 étoiles 1 486"
Asrock Radeon RX 6600 CLD,https://www.amazon.fr/ASRock-Radeon-RX-6600-CLD/dp/B09J8VCFWN,0,"203,53","4,6 sur 5 étoiles","4,6 sur 5 étoiles 353"
ASUS ROG Strix AMD Radeon RX 560 4Go 90YV0HV0-M0NA00,https://www.amazon.fr/ASUS-ROG-Strix-Radeon-90YV0HV0-M0NA00/dp/B0B23GVMG3,0,Non disponible,"4,3 sur 5 étoiles","4,3 sur 5 étoiles 69"
"QTHREE GeForce GT 210 Carte Graphique, 1G DDR3 64-bit, HDMI, DVI, VGA, PC Graphics Card GPU, DirectX 10, PCI Express x16",https://www.amazon.fr/QTHREE-graphique-GeForce-Frequency-Desktop/dp/B0BFX174WF,0,"43,44","4,4 sur 5 étoiles","4,4 sur 5 étoiles 207"
GIGABYTE gddr4 Graphics Card PCIe NVD GV-N1030D4-2GL (GV-N1030D4-2GL),https://www.amazon.fr/Gigabyte-Graphics-Card-PCIe-GV-N1030D4-2GL/dp/B07CQ6Q52H,0,"89,95","4,5 sur 5 étoiles","4,5 sur 5 étoiles 208"
"ASUS GeForce RTX 3050 LP BRK OC Edition 6 Go GDDR6 (IP5X résistance à la poussière, double roulement à billes, support en acier inoxydable, PCIe 4.0, DLSS 3, HDMI 2.1, DisplayPort 1.4a, DVI-D et plus)",https://www.amazon.fr/ASUS-r%C3%A9sistance-poussi%C3%A8re-inoxydable-DisplayPort/dp/B0CVQMD2DF,0,"233,20","4,3 sur 5 étoiles","4,3 sur 5 étoiles 17"
Zotac GeForce GT 730 4GB Carte Graphique ZT-71115-20L,https://www.amazon.fr/Zotac-zt-71115-20L-Graphique-GeForce-730-Carte/dp/B00R5UW038,0,Non disponible,"4,2 sur 5 étoiles","4,2 sur 5 étoiles 2 905"
Karta graficzna ASRock Intel Arc A380 Challenger ITX OC 6GB GDDR6 (90-GA3KZZ-00UANF),https://www.amazon.fr/Karta-graficzna-ASRock-Challenger-90-GA3KZZ-00UANF/dp/B0BFD8DSM3,0,Non disponible,"4,3 sur 5 étoiles","4,3 sur 5 étoiles 365"
"PNY Quadro P400 Carte graphique professionnelle 2GB GDDR5 PCI Express 3.0 x16, simple slot, 3x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GYZZGW,0,"180,00","4,3 sur 5 étoiles","4,3 sur 5 étoiles 67"
KFA2 Carte Graphique GeForce RTX 4060 1-Click OC 2X NVIDIA 8 Go GDDR6 (Emballage en Vrac),https://www.amazon.fr/KFA2-Graphique-GeForce-1-Click-Emballage/dp/B0CH9XZHXQ,0,"315,35","5,0 sur 5 étoiles","5,0 sur 5 étoiles 2"
"PNY NVIDIA T400 4GB Carte Graphique Professionnelle 4GB GDDR6 PCI Express 3.0 x16, Single Slot, 3X Mini-DisplayPort, 8K Support, Ventilateur Actif Ultra Silencieux Noir",https://www.amazon.fr/PNY-Professionnelle-Mini-DisplayPort-Ventilateur-Silencieux/dp/B09RQBL7JP,0,"200,00","4,6 sur 5 étoiles","4,6 sur 5 étoiles 18"
"QTHREE GT 730 Carte Graphique 4 Go, DDR3, 128 Bits, Carte vidéo de Bureau pour PC de Jeu, DVI-I, HDMI, VGA, PCI Express 2.0 x16, GPU d'ordinateur à Profil Bas, Prise en Charge DirectX 11,2K",https://www.amazon.fr/GeForce-GT-730-graphique-DirectX/dp/B09JF5RSCS,0,"68,66","3,9 sur 5 étoiles","3,9 sur 5 étoiles 68"
"Predator BiFrost Arc A750 OC – 8GB VRAM GDDR6, HDMI, 3X DP - PCIe 4.0 – Double Ventilateur – Noir – Carte Graphique",https://www.amazon.fr/ACER-Predator-BiFrost-Intel%C2%AE-ArcTM/dp/B0CG1QJ9ZX,0,"232,50","5,0 sur 5 étoiles","5,0 sur 5 étoiles 3"
"PNY Quadro P620 Carte graphique professionnelle 2GB GDDR5 PCI Express 3.0 x16, simple slot, 4x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GZHB2L,0,"170,00","4,4 sur 5 étoiles","4,4 sur 5 étoiles 39"
Gigabyte GeForce GTX 1050 Ti Windforce OC Edition 4G Carte Graphique,https://www.amazon.fr/Gigabyte-GeForce-Windforce-Carte-Graphique/dp/B01MEHGRMS,0,Non disponible,"4,5 sur 5 étoiles","4,5 sur 5 étoiles 1 611"
MSI RX480 Gaming X 4G Carte Graphique Radeon RX480 1316 MHz 4 Go PCI Express 3.0,https://www.amazon.fr/MSI-4G-graphique-Radeon-Express/dp/B01KF91GJO,0,Non disponible,"3,9 sur 5 étoiles","3,9 sur 5 étoiles 60"
"SAPLOS Geforce GT 610 Carte Graphique, 2GB DDR3 64-bit, VGA HDMI, Low Profile Carte Video, PCI Express x16, DirectX 11",https://www.amazon.fr/SAPLOS-Geforce-Graphique-Profile-Express/dp/B0CW1HGQH3,0,"45,82","3,9 sur 5 étoiles","3,9 sur 5 étoiles 12"
PNY NVIDIA NVS 310 Carte Graphique Professionnelle 1 Go GDDR3 PCI-Express Low Profile Double DP Noir,https://www.amazon.fr/PNY-Graphique-Professionnelle-PCI-Express-VCNVS310DP-1GB-PB/dp/B016AUXSWK,0,Non disponible,"3,8 sur 5 étoiles","3,8 sur 5 étoiles 79"
"PNY Quadro P400 Carte graphique professionnelle DVI 2GB GDDR5 PCI Express 3.0 x16, simple slot, 3x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GZQJXZ,0,"175,00","4,2 sur 5 étoiles","4,2 sur 5 étoiles 56"
"ASUS ROG Strix Herculx Support pour gddr4 Carte graphie, Montage sans Outils, Niveau intégré Pratique, Structure en Alliage de Zinc, Hauteur réglable de 72 à 128 mm, Aura Sync, Noir 90DA0020-B09000",https://www.amazon.fr/ASUS-Pratique-Structure-r%C3%A9glable-90DA0020-B09000/dp/B09RPYGVBW,0,"35,66","4,7 sur 5 étoiles","4,7 sur 5 étoiles 929"
QTHREE Radeon RX 580 8G D5 256-bit HDMI DisplayPort DVI DirectX 12 8 broches Additional Power Connector PCI Express x16,https://www.amazon.fr/QTHREE-256-bit-DisplayPort-Additional-Connector/dp/B0DRVPTGH8,0,"121,66",Non disponible,Non disponible
PNY Carte Graphique Professionnelle NVIDIA Quadro P400 (VCQP400-PB),https://www.amazon.fr/PNY-VCQP400-PB-Quadro-P400-2gb/dp/B06X9PW5DZ,0,"145,00","4,6 sur 5 étoiles","4,6 sur 5 étoiles 312"
"QTHREE GTX 1050 Ti Carte graphique 4 Go 128 bits GDDR5 pour PC Gaming, DisplayPort HDMI DVI-D, PCI Express X16, ordinateur GPU, DirectX 12",https://www.amazon.fr/QTHREE-graphique-DisplayPort-Express-ordinateur/dp/B0DSVSH1MC,0,"146,66",Non disponible,Non disponible
"ASUS ROG CROSSHAIR VIII IMPACT - Carte mère gaming (AMD AM4 X570, mini-ITX SO-DIMM.2 (Dual M.2), Wi-Fi 6 (802.11ax), PCIe 4.0, SupremeFX, Aura Sync, SATA 6 Gb/s, USB 3.2 Gén.2)",https://www.amazon.fr/ASUS-ROG-CROSSHAIR-VIII-IMPACT/dp/B07X55Y4SX,0,Non disponible,"4,0 sur 5 étoiles","4,0 sur 5 étoiles 259"
Prime X870-P WiFi,https://www.amazon.fr/ASUS-90MB1IS0-M0EAY0-Prime-X870-P-WiFi/dp/B0DGQ6RGD6,0,"216,66","3,8 sur 5 étoiles","3,8 sur 5 étoiles 222"
EZDIY-FAB FR2-4.0CM Muti GPU-W Cable,https://www.amazon.fr/EZDIY-FAB-Support-Graphique-Multi-Angles-Compatible/dp/B0BXN6NZ6P,0,"55,41","4,0 sur 5 étoiles","4,0 sur 5 étoiles 11"
"GIGABYTE B650 Eagle Carte mère - AMD Ryzen série 9000, VRM 12+2+2 Phases, jusqu'à 7600 MHz DDR5 (OC), 1xPCIe 5.0 + 2xPCIe 4.0 M.2, LAN GbE, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B650-Eagle-Carte-m%C3%A8re/dp/B0DBM78F2D,0,"129,07","4,0 sur 5 étoiles","4,0 sur 5 étoiles 16"
"GIGABYTE B760M D3HP Carte Mère - Processeurs Intel Core 14ème Génération, VRM 4+1+1 Phases, jusqu'à 5600 MHz DDR5, 2xPCIe 4.0 M.2, LAN GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-B760M-D3HP-Carte-M%C3%A8re/dp/B0DTYZM4FP,0,"108,29",Non disponible,Non disponible
"upHere gaming Support GPU,Aluminium,Support Carte Graphique,Support Carte Graphique Verticale réglable en Hauteur,avec Aimant,S(26mm-50mm),GB26K",https://www.amazon.fr/upHere-gaming-Aluminium-Graphique-Verticale/dp/B0CXPW17QK,0,"5,82","4,4 sur 5 étoiles","4,4 sur 5 étoiles 63"
"MSI B760 Gaming Plus WiFi DDR4 Carte mère, ATX - pour processeurs Intel 14e, 13e & 12e gén, LGA 1700 - DDR4 Memory Boost 5333+MHz/OC, 1 x PCIe 4.0 x16, 2 x M.2 Gen4, 2.5G LAN, Wi-FI 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-Carte/dp/B0BSLMNGM9,0,"122,59","4,7 sur 5 étoiles","4,7 sur 5 étoiles 16"
Gigabyte B550 Gaming X V2 ATX Motherboard for AMD AM4 CPUs,https://www.amazon.fr/GIGABYTE-B550-GAMING-V2-Gaming/dp/B08K16S4K1,0,"99,62","4,4 sur 5 étoiles","4,4 sur 5 étoiles 1 639"
"GIGABYTE Carte mère A520M K V2 - Prend en charge les processeurs AMD Ryzen série 5000 AM4, jusqu'à 5100MHz DDR4 (OC), PCIe Gen3 x4 M.2, LAN GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-A520M-K-V2/dp/B0BXFBN121,0,"52,46","4,3 sur 5 étoiles","4,3 sur 5 étoiles 356"
"MSI B850 Gaming Plus WiFi Carte mère ATX - pour processeurs AMD Ryzen 9000/8000 / 7000, AM5 - DDR5 Memory Boost (8200+ MT/s OC), PCIe 5.0 x16 & 4.0 x16, M.2 Gen5, Wi-FI 7, 5G LAN",https://www.amazon.fr/MSI-B850-Gaming-Plus-Carte/dp/B0DPKV94MX,0,"184,07","4,6 sur 5 étoiles","4,6 sur 5 étoiles 129"
Gigabyte B550 AORUS Elite AX V2 (Socket AM4/B550/DDR4/S-ATA 600/ATX/WiFi 6),https://www.amazon.fr/Gigabyte-B550-AORUS-AX-V2/dp/B08K16FGC8,0,"126,66","4,3 sur 5 étoiles","4,3 sur 5 étoiles 909"
Gigabyte B760 Gaming X DDR4 Intel LGA 1700,https://www.amazon.fr/GIGABYTE-B760-Gaming-DDR4-Intel/dp/B0BPYTR6J5,0,"105,02","4,5 sur 5 étoiles","4,5 sur 5 étoiles 396"
"MSI B760 B760 GAMING PLUS WIFI Carte Mère, ATX - Pour Processeurs Intel Core 14e, 13e & 12e Génération, LGA 1700 - DDR5 Memory Boost 6800+MHz/OC, Slots PCIe 4.0 x16, Slots M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B760-Gaming-Plus-WiFi/dp/B0BZD3BMZL,0,"137,87","4,5 sur 5 étoiles","4,5 sur 5 étoiles 1 941"
"MSI B650 GAMING PLUS WIFI Carte mère, ATX - Pour processeurs AMD Ryzen 9000, 8000 & 7000, AM5 - VRM double rail 14+2 phases, DDR5 6400+MHz/OC, 2 x PCIe 4.0 x16, 2 x M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B650-Gaming-Plus-WiFi/dp/B0C3R2TXHJ,0,"150,35","4,3 sur 5 étoiles","4,3 sur 5 étoiles 3 400"
"EZDIY-FAB Support GPU Graphique Support de Carte vidéo avec LED ARGB 5V 3 Broches, Support d'étui RX6700-Noir",https://www.amazon.fr/EZDIY-FAB-Support-Graphique-Broches-RX6700-Noir/dp/B0948R4VF4,0,"16,66","4,3 sur 5 étoiles","4,3 sur 5 étoiles 441"
StarTech.com Adaptateur USB 3.0 vers double DisplayPort 4K 60 Hz - Carte graphique externe USB 3.0 vers 2 ports DP (USB32DP24K60),https://www.amazon.fr/StarTech-com-Adaptateur-vers-double-DisplayPort/dp/B07C69HG33,0,"98,33","4,3 sur 5 étoiles","4,3 sur 5 étoiles 524"
"GIGABYTE B550M DS3H Carte mère - Processeurs AMD Ryzen 5000, VRM 5+3 Phases, jusqu'à 4733 MHz DDR4, 1xPCIe 4.0 + 1xPCIe 3.0 M.2, LAN 1GbE, USB 3.2 Gen 1",https://www.amazon.fr/GIGABYTE-Carte-Mere-B550M-DS3H/dp/B089TNX9YT,0,"76,56","4,3 sur 5 étoiles","4,3 sur 5 étoiles 1 803"
"ASUS ROG Herculx Support pour Carte Graphique Blanc (Hauteur de Support 72-128 mm, élément ARGB 3D intégré, Aura Sync, Niveau à Bulle, Blanc)",https://www.amazon.fr/ASUS-Herculx-Support-Graphique-Hauteur/dp/B08H24S64X,0,"32,73","4,8 sur 5 étoiles","4,8 sur 5 étoiles 36"
GIGABYTE B550 AORUS Elite V2 ATX,https://www.amazon.fr/GIGABYTE-B550-AORUS-Elite-V2/dp/B08MPZ14FY,0,"106,08","4,4 sur 5 étoiles","4,4 sur 5 étoiles 1 864"
GIGABYTE B760M Gaming X DDR4,https://www.amazon.fr/GIGABYTE-Intel-B760M-Gaming-DDR4/dp/B0BPMK4MJV,0,"95,79","4,6 sur 5 étoiles","4,6 sur 5 étoiles 164"
"MSI Carte mère de jeu MPG B550 Gaming Plus (ATX), AMD AM4, DDR4 M.2, USB 3.2 Gen 2, HDMI ATX, carte mère de jeu, processeurs AMD Ryzen™ 5000",https://www.amazon.fr/MSI-B550-Gaming-Plus-911-7C56-001/dp/B08B4V6H3N,0,"107,32","4,6 sur 5 étoiles","4,6 sur 5 étoiles 12 749"
"NZXT H7 Flow RGB -Tour moyenne ATX circ. d’air ventilateurs RGB, Ventilateurs inf. refroidissement direct carte graphique, Ventilateur RGB struct. unique 360 mm incl., Gestion des câbles- Boîtiers PC",https://www.amazon.fr/NZXT-ventilateurs-Ventilateurs-refroidissement-Ventilateur/dp/B0CV4RRBNJ,0,"124,99","4,6 sur 5 étoiles","4,6 sur 5 étoiles 2 071"
"MSI Pro H610M-E DDR4 Carte mère, Micro-ATX - pour processeur Intel de 14e, 13e et 12e gén., LGA 1700 - DDR4 Memory Boost 3200MHz/MAX, PCIe 4.0 x16, M.2 Gen3",https://www.amazon.fr/MSI-H610M-DDR4-LGA1700-MicroATX/dp/B0BKRDV1V3,0,"58,25","4,3 sur 5 étoiles","4,3 sur 5 étoiles 396"
"Cooler Master Kit Support GPU Vertical V3, pour Boîtiers PC E-ATX/ATX/mATX & Appareils PCI-E 4.0, Support Modulaire Ajustable pour Carte Graphique, Acier SGCC Épais, Riser Cable 165mm Inclus - Noir",https://www.amazon.fr/Cooler-Master-Vertical-Graphics-%C3%A9l%C3%A9vateur/dp/B0B7NY5TSY,0,"58,29","4,3 sur 5 étoiles","4,3 sur 5 étoiles 1 242"
upHere gaming GPU Brace Carte Graphique ARGB LED Sync Ajustable Selon la Carte Graphique pour Raidisseur de Support Carte Vidéo.,https://www.amazon.fr/upHere-gaming-Graphique-Ajustable-Raidisseur/dp/B0CXHH96YL,0,"12,49","4,3 sur 5 étoiles","4,3 sur 5 étoiles 55"
